call_id,timestamp,base_prefix,unique_prefix,prompt_file,image_files,phase,cluster_id,n_spikes
17,2025-11-30_21-03-26,phase1_cluster_104,phase1_cluster_104_call00017,phase1_cluster_104_call00017_prompt.txt,phase1_cluster_104_call00017_waveform_overlay.png;phase1_cluster_104_call00017_isi_histogram.png;phase1_cluster_104_call00017_aggregation_tree.png,1,104,10906
18,2025-11-30_21-03-35,phase1_cluster_104,phase1_cluster_104_call00018,phase1_cluster_104_call00018_prompt.txt,phase1_cluster_104_call00018_waveform_overlay.png;phase1_cluster_104_call00018_isi_histogram.png;phase1_cluster_104_call00018_aggregation_tree.png,1,104,10402
19,2025-11-30_21-03-42,phase1_cluster_104,phase1_cluster_104_call00019,phase1_cluster_104_call00019_prompt.txt,phase1_cluster_104_call00019_waveform_overlay.png;phase1_cluster_104_call00019_isi_histogram.png;phase1_cluster_104_call00019_aggregation_tree.png,1,104,9899
20,2025-11-30_21-03-54,phase1_cluster_257,phase1_cluster_257_call00020,phase1_cluster_257_call00020_prompt.txt,phase1_cluster_257_call00020_waveform_overlay.png;phase1_cluster_257_call00020_isi_histogram.png;phase1_cluster_257_call00020_aggregation_tree.png,1,257,503
21,2025-11-30_21-04-02,phase1_cluster_215,phase1_cluster_215_call00021,phase1_cluster_215_call00021_prompt.txt,phase1_cluster_215_call00021_waveform_overlay.png;phase1_cluster_215_call00021_isi_histogram.png;phase1_cluster_215_call00021_aggregation_tree.png,1,215,504
22,2025-11-30_21-04-09,phase1_cluster_225,phase1_cluster_225_call00022,phase1_cluster_225_call00022_prompt.txt,phase1_cluster_225_call00022_waveform_overlay.png;phase1_cluster_225_call00022_isi_histogram.png;phase1_cluster_225_call00022_aggregation_tree.png,1,225,375
23,2025-11-30_21-04-16,phase1_cluster_213,phase1_cluster_213_call00023,phase1_cluster_213_call00023_prompt.txt,phase1_cluster_213_call00023_waveform_overlay.png;phase1_cluster_213_call00023_isi_histogram.png;phase1_cluster_213_call00023_aggregation_tree.png,1,213,368
24,2025-11-30_21-04-21,phase1_cluster_242,phase1_cluster_242_call00024,phase1_cluster_242_call00024_prompt.txt,phase1_cluster_242_call00024_waveform_overlay.png;phase1_cluster_242_call00024_isi_histogram.png;phase1_cluster_242_call00024_aggregation_tree.png,1,242,224
25,2025-11-30_21-04-36,phase1_cluster_239,phase1_cluster_239_call00025,phase1_cluster_239_call00025_prompt.txt,phase1_cluster_239_call00025_waveform_overlay.png;phase1_cluster_239_call00025_isi_histogram.png;phase1_cluster_239_call00025_aggregation_tree.png,1,239,133
26,2025-11-30_21-04-40,phase1_cluster_253,phase1_cluster_253_call00026,phase1_cluster_253_call00026_prompt.txt,phase1_cluster_253_call00026_waveform_overlay.png;phase1_cluster_253_call00026_isi_histogram.png;phase1_cluster_253_call00026_aggregation_tree.png,1,253,123
27,2025-11-30_21-14-59,phase1_cluster_219,phase1_cluster_219_call00027,phase1_cluster_219_call00027_prompt.txt,phase1_cluster_219_call00027_waveform_overlay.png;phase1_cluster_219_call00027_isi_histogram.png;phase1_cluster_219_call00027_aggregation_tree.png,1,219,388
28,2025-11-30_21-15-04,phase1_cluster_218,phase1_cluster_218_call00028,phase1_cluster_218_call00028_prompt.txt,phase1_cluster_218_call00028_waveform_overlay.png;phase1_cluster_218_call00028_isi_histogram.png;phase1_cluster_218_call00028_aggregation_tree.png,1,218,658
